TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115549,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115549]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2633964","Already_Fixed","High",2021-11-14T18:12:32.413+01:00,20666,"Thibault Rommel",,"",,"","","","","",""
120115344,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115344]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2621411","Fixed","High",2021-12-03T09:04:44.608+01:00,123359,"joost schouppe",,"",,"","","Thibault Rommel: plaats onduidelijk","","",""
120115346,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115346]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631119","Fixed","High",2021-11-14T18:47:14.768+01:00,77197,"Thibault Rommel",,"",,"","","","","",""
120115347,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115347]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2631569","Fixed","High",2021-11-14T22:00:24.048+01:00,43742,"Thibault Rommel",,"",,"","","","","",""
120115345,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115345]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629464","Fixed","High",2021-11-15T22:14:34.729+01:00,266171,"joost schouppe",,"",,"","","","","",""
120115352,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115352]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638428","Fixed","High",2021-11-14T21:52:03.045+01:00,953271,"Thibault Rommel",,"",,"","","","","",""
120115353,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115353]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638448","Fixed","High",2021-11-14T21:36:09.629+01:00,231298,"Thibault Rommel",,"",,"","","","","",""
120115349,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115349]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638004","Fixed","High",2021-11-14T22:06:20.678+01:00,6170,"Thibault Rommel",,"",,"","","","","",""
120115350,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115350]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638015","Fixed","High",2021-11-14T22:06:25.509+01:00,4668,"Thibault Rommel",,"",,"","","","","",""
120115351,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115351]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638025","Fixed","High",2021-11-14T22:06:14.358+01:00,99709,"Thibault Rommel",,"",,"","","","","",""
120115356,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115356]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629205","Fixed","High",2021-11-14T16:47:51.532+01:00,113092,"Thibault Rommel",,"",,"","","","","",""
120115357,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115357]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629236","Fixed","High",2021-11-14T16:49:04.999+01:00,4855,"Thibault Rommel",,"",,"","","","","",""
120115354,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115354]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635705","Not_An_Issue","High",2021-11-14T18:45:02.575+01:00,46139,"Thibault Rommel",,"",,"","","Thibault Rommel: geen oversteekplaats, louter plaats waar fietsers op de rijbaan komen","","",""
120115355,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115355]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629194","Fixed","High",2021-11-14T16:48:59.994+01:00,68334,"Thibault Rommel",,"",,"","","","","",""
120115359,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115359]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635568","Fixed","High",2021-11-14T18:39:58.114+01:00,65619,"Thibault Rommel",,"",,"","","","","",""
120115360,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115360]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635739","Not_An_Issue","High",2021-11-14T18:44:16.293+01:00,44059,"Thibault Rommel",,"",,"","","Thibault Rommel: geen snelheidsremmende maatregel","","",""
120115361,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115361]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637362","Not_An_Issue","High",2021-11-14T22:04:34.124+01:00,174120,"Thibault Rommel",,"",,"","","Thibault Rommel: geen verkeersremmende maatregel","","",""
120115358,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115358]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635532","Fixed","High",2021-11-14T18:38:52.347+01:00,90209,"Thibault Rommel",,"",,"","","","","",""
120115363,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115363]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2625243","Fixed","High",2021-12-03T10:09:37.613+01:00,4396,"joost schouppe",,"",,"","","Thibault Rommel: locatie onduidelijk","","",""
120115364,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115364]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2626419","Already_Fixed","High",2021-11-14T18:11:23.533+01:00,68800,"Thibault Rommel",,"",,"","","","","",""
