;id;traffic_sign_code;extra_text;traffic_sign_description;date_installed;locatie_x;locatie_y
0;407891;F49;;Pedestrian crossing;06/04/2046;88333.652;167341.615
3;2336848;C9-C11 | B9 | C19 | C43;Neen,50;Priority road|Pedestrians prohibited|Speed limit;01/01/2050;149472.594;199430.312
4;2336852;B9 | A1d | GIa | C43;m,50|Neen,50;Priority road|Right curve followed by left curve|Speed limit;01/01/2050;149442.438;199403.5
5;2336855;C9-C11 | C19;;Pedestrians prohibited;01/01/2050;149446.812;199405.562
6;2336858;B1;;Give way;01/01/2050;149456.625;199405.938
9;2692050;B1;;Give way;10/01/2022;106465.562;192172.219
12;2692332;F12b;;End of Living street;10/01/2022;105631.199;192789.474
17;2692449;B1;;Give way;10/01/2022;106073.767;191620.931
21;2692465;B1;;Give way;10/01/2022;106071.584;191615.507
24;2692483;B1;;Give way;10/01/2022;106070.129;191620.27
26;2692490;F49 | F50;;Pedestrian crossing|Bicycle crossing;10/01/2022;106062.317;191618.577
28;2692492;B1;;Give way;10/01/2022;106089.704;191610.06
30;2692506;B1 | M10 | F4b;;Give way|End of speed limit zone;10/01/2022;106086.748;191601.659
51;2692736;F12a;;Living street;11/01/2022;150089.094;224517.312
55;2692872;F4b | B1;;End of speed limit zone|Give way;11/01/2022;105204.199;191315.516
59;2692906;B1;;Give way;10/01/2022;106072.318;191626.145
61;2692912;F4b;;End of speed limit zone;10/01/2022;106003.501;191671.298
63;2692918;B1 | M10 Klein | F4b;;Give way|End of speed limit zone;10/01/2022;106062.756;191638.27
64;2692924;B1;;Give way;10/01/2022;106106.243;191596.987
65;2692926;F4a | D7;;Speed limit zone;10/01/2022;106066.524;191635.643
70;2693070;F4b;;End of speed limit zone;12/01/2022;150212.27;224982.76
73;2693111;C3;;All vehicles prohibited;12/01/2022;81329.01;174986.63
74;2693248;F4a;;Speed limit zone;10/01/2022;108230.005;195374.865
79;2694018;B1;;Give way;12/01/2022;68383.445;181126.115
81;2694281;B1;;Give way;10/01/2022;106125.683;191603.015
83;2694289;B1;;Give way;10/01/2022;106067.75;191639.825
86;2694297;B1;;Give way;10/01/2022;106089.704;191610.06
89;2694308;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;106112.96;191602.143
90;2694310;F49 | F50;;Pedestrian crossing|Bicycle crossing;10/01/2022;106075.467;191624.689
91;2694311;F4a;;Speed limit zone;10/01/2022;106014.63;191670.56
93;2694329;C1;;One-way street;10/01/2022;106002.597;191652.405
95;2694936;C1;;One-way street;10/01/2022;103884.702;194505.51
99;2694968;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;108240.412;198983.349
106;2694988;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;108360.383;198938.689
107;2694990;F12b;;End of Living street;10/01/2022;107553.192;199124.54
109;2694996;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;107965.227;198999.353
110;2695000;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;108162.659;198954.56
112;2695004;B1 | F4b;;Give way|End of speed limit zone;10/01/2022;108018.158;198957.474
115;2695079;F4b;;End of speed limit zone;10/01/2022;104250.798;198196.316
119;2695191;B1 | F13;;Give way;10/01/2022;102787.067;191104.601
121;2695743;F4a | D7 | M7;;Speed limit zone|Mopeds Class B forbidden on cycleway;11/01/2022;103919.71;194614.684
123;2695861;F27 | F49;S343,A49;Pedestrian crossing;11/01/2022;103843.406;194453.406
127;2697620;F4a | D7 | M7;;Speed limit zone|Mopeds Class B forbidden on cycleway;11/01/2022;103919.71;194614.684
129;2697739;B9 | F19 | F13;;Priority road|One-way street;11/01/2022;103816.765;194470.986
130;2697767;B9 | F19;;Priority road|One-way street;10/01/2022;103863.664;194469.506
132;2697906;C1 | M12;;One-way street;10/01/2022;105978.167;191645.898
133;2699539;B1;;Give way;10/01/2022;99321.156;194216.375
146;2710813;A25;;Bicycle crossing;11/01/2022;67478.83;178949.09
151;2715989;F4a;;Speed limit zone;08/02/2022;101875.03;213551.56
152;2715992;F4b;;End of speed limit zone;08/02/2022;101874.91;213550.12
153;2715993;F4b;;End of speed limit zone;08/02/2022;101623.77;213486.53
156;2716003;M12 | GIV | C3;Tekst,UITGEZONDERD PLAATSELIJK VERKEER;All vehicles prohibited;08/02/2022;95717.16;214125.11
160;2716032;M12 | GIV | C3;Tekst,UITGEZONDERD PLAATSELIJK VERKEER;All vehicles prohibited;08/02/2022;95003.45;212918.58
161;2716078;GIV | C3;Tekst,UITGEZONDERD BEWONERS;All vehicles prohibited;08/02/2022;50318.963;171503.515
165;2716512;F45b;;No exit, except for bicycle;08/02/2022;63718.156;185050.904
167;2716521;B1;;Give way;08/02/2022;63495.489;185113.255
168;2716530;A39;;Bidirectional traffic;08/02/2022;63951.114;185003.942
169;2716545;B1 | M3 | C31b | M10;;Give way|Except for bicycles and mopeds;08/02/2022;63896.864;185032.942
170;2716547;B1 | M10;;Give way;08/02/2022;63909.765;185015.181
172;2716566;M3 | B15c | C31a;;Except for bicycles and mopeds;08/02/2022;63748.48;185052.706
175;2716608;F19 | M5;;One-way street|Not oneway for bicycles and mofas;08/02/2022;62970.81;183774.68
180;2716623;C1 | M3;;One-way street|Except for bicycles and mopeds;08/02/2022;62979.94;183768.22
181;2716629;F19 | M5;;One-way street|Not oneway for bicycles and mofas;08/02/2022;62996.61;183776.46
182;2716631;M5 | F19;;Not oneway for bicycles and mofas|One-way street;08/02/2022;63024.9;183773.59
183;2716634;M8 | B1;;Only for bicycles and mofas|Give way;08/02/2022;63023.46;183767.68
184;2716644;GXa | C3 | GIV | E1;Tekst,UITGEZONDERD PLAATSELIJK VERKEER;All vehicles prohibited|No Parking;08/02/2022;63003.46;183776.06
