id;traffic_sign_code;extra_text;traffic_sign_description;date_installed;locatie_x;locatie_y
2744833;F111; ;Bicycle road;9/4/2022;33860;203704
2744835;F111; ;Bicycle road;9/4/2022;33572,281;204138,719
2744836;F111; ;Bicycle road;9/4/2022;33353,281;204470,719
2744837;F111; ;Bicycle road;9/4/2022;33316,781;204529,719
2744841;F111; ;Bicycle road;9/4/2022;33265,781;204606,719
2744842;F111; ;Bicycle road;9/4/2022;33228,281;204641,719
2744843;F111; ;Bicycle road;9/4/2022;33259,281;204590,219
2744844;F111; ;Bicycle road;9/4/2022;33311,281;204511,719
2744845;F111; ;Bicycle road;9/4/2022;33353,531;204458,219
2744847;F111; ;Bicycle road;9/4/2022;32899,531;203472,969
2744848;F111; ;Bicycle road;9/4/2022;33022,281;203356,219
2744849;F111; ;Bicycle road;9/4/2022;33020,781;203348,219
2744850;F111; ;Bicycle road;9/4/2022;33051,031;203313,969
2744853;F111; ;Bicycle road;9/4/2022;33051,031;203323,219
2744855;F111; ;Bicycle road;9/4/2022;33103,031;203152,219
2744856;F111; ;Bicycle road;9/4/2022;33083,031;203153,719
2744857;F111; ;Bicycle road;9/4/2022;32879,031;203040,219
2744861;F111; ;Bicycle road;9/4/2022;32770,031;203004,719
2744862;F111; ;Bicycle road;9/4/2022;32643,031;202959,719
2744863;F111; ;Bicycle road;9/4/2022;32506,531;202882,219
2744864;F111; ;Bicycle road;9/4/2022;32304,531;202784,219
2744865;F111; ;Bicycle road;9/4/2022;32070,531;202586,719
2744867;F111; ;Bicycle road;9/4/2022;31931,031;202497,719
2744868;F111; ;Bicycle road;9/4/2022;31782,531;202427,219
2744869;F111; ;Bicycle road;9/4/2022;31759,031;202409,219
2744870;F111; ;Bicycle road;9/4/2022;31802,531;202418,719
2744871;F111; ;Bicycle road;9/4/2022;31949,531;202489,219
2744872;F111; ;Bicycle road;9/4/2022;32094,031;202583,219
2744873;F111; ;Bicycle road;9/4/2022;32328,031;202778,219
2744874;F111; ;Bicycle road;9/4/2022;32529,531;202877,219
2744875;F111; ;Bicycle road;9/4/2022;32667,531;202952,719
2744876;F111; ;Bicycle road;9/4/2022;32788,031;202997,719
2744877;F111; ;Bicycle road;9/4/2022;32904,531;203032,719
2744878;F111; ;Bicycle road;9/4/2022;31559,031;202444,219
2744879;F111; ;Bicycle road;9/4/2022;31370,031;202380,219
2744880;F111; ;Bicycle road;9/4/2022;31169,031;202272,219
2744881;F111; ;Bicycle road;9/4/2022;31187,031;202168,219
2744882;F111; ;Bicycle road;9/4/2022;31223,031;202083,219
2744883;F111; ;Bicycle road;9/4/2022;31209,031;202197,219
2744884;F111; ;Bicycle road;9/4/2022;31222,031;202283,219
2744886;F111; ;Bicycle road;9/4/2022;31412,031;202364,219
2744887;F111; ;Bicycle road;9/4/2022;31192,031;202070,219
2744891;F111; ;Bicycle road;9/4/2022;31011,031;201867,219
2744897;F111; ;Bicycle road;9/4/2022;28674,531;201471,219
2744898;F111; ;Bicycle road;9/4/2022;28635,031;201612,719
2744901;F111; ;Bicycle road;9/4/2022;28665,031;201456,719
2744902;F111; ;Bicycle road;9/4/2022;28674,531;201407,719
2744903;F111; ;Bicycle road;9/4/2022;28681,531;201425,219
2744904;F111; ;Bicycle road;9/4/2022;27976,031;201499,719
2744907;F111; ;Bicycle road;9/4/2022;27919,031;201470,219
2744910;F111; ;Bicycle road;9/4/2022;27879,031;201449,719
2744911;F111; ;Bicycle road;9/4/2022;27697,531;201354,219
2744912;F111; ;Bicycle road;9/4/2022;27498,531;201243,219
2744913;F111; ;Bicycle road;9/4/2022;27445,531;201215,219
2744914;F111; ;Bicycle road;9/4/2022;27344,531;201160,719
2744915;F111; ;Bicycle road;9/4/2022;27271,031;201122,219
2744916;F111; ;Bicycle road;9/4/2022;27206,031;201068,219
2744919;F111; ;Bicycle road;9/4/2022;27290,531;201116,219
2744920;F111; ;Bicycle road;9/4/2022;27363,531;201158,219
2744921;F111; ;Bicycle road;9/4/2022;27464,031;201211,719
2744923;F111; ;Bicycle road;9/4/2022;27515,531;201236,219
2744924;F111; ;Bicycle road;9/4/2022;27648,031;201308,719
2744925;F111; ;Bicycle road;9/4/2022;27625,531;201312,219
2744926;F111; ;Bicycle road;9/4/2022;27729,031;201351,719
2744927;F111; ;Bicycle road;9/4/2022;27901,531;201443,719
2744928;F111; ;Bicycle road;9/4/2022;27946,031;201467,719
2744929;F111; ;Bicycle road;9/4/2022;28172,031;201251,219
2744930;F111; ;Bicycle road;9/4/2022;28091,031;201230,219
2744934;F111; ;Bicycle road;9/4/2022;28012,031;201208,219
2744935;F111; ;Bicycle road;9/4/2022;27784,031;201092,219
2744936;F111; ;Bicycle road;9/4/2022;27661,031;201046,219
2744937;F111; ;Bicycle road;9/4/2022;27562,031;201015,219
2744940;F111; ;Bicycle road;9/4/2022;27348,031;200956,219
2744941;F111; ;Bicycle road;9/4/2022;27390,031;200937,219
2744942;F111; ;Bicycle road;9/4/2022;27600,031;201002,219
2744943;F111; ;Bicycle road;9/4/2022;27689,031;201032,219
