id;traffic_sign_code;extra_text;traffic_sign_description;date_installed;locatie_x;locatie_y
2798204;M2 | C1; ;Except for bicycles | One-way street;6/1/2022;62501,695;182550,211
2800397;F4b; ;End of speed limit zone;6/1/2022;63030,625;182241,562
2802772;M12 | GIV | C3 | GIII | A51;UITGEZONDERD LANDBOUWVOERTUIGEN | TRACTORSLUIS;All vehicles prohibited | General danger;6/1/2022;136165,469;201145,344
2802777;M12 | GIV | C3 | GIII | A51;UITGEZONDERD LANDBOUWVOERTUIGEN | TRACTORSLUIS;All vehicles prohibited | General danger;6/1/2022;136150,219;201159,344
2802778;F45b; ;No exit, except for bicycle;6/1/2022;136074,719;200466,094
2802779;F45b; ;No exit, except for bicycle;6/1/2022;135565,469;202722,594
2805337;C43;50;Speed limit;6/1/2022;167371,057;193346,328
2808313;C43 (zone) | F3b;"C43,[""400"",""Neen"",""50""],";Speed limit;6/5/2022;139006,812;206047
2808318;C43 (zone) | F3b;"C43,[""400"",""Neen"",""50""],";Speed limit;6/5/2022;138766,75;205757
2809202;C43 (zone);"C43,[""400"",""Neen"",""50""],";Speed limit;6/2/2022;139004,125;202712,375
2816270;C43 (zone);"C43,[""400"",""Neen"",""50""],";Speed limit;6/6/2022;138412,375;205155,875
2824400;F111; ;Bicycle road;5/31/2022;157693,791;161776,198
2824616;C1 | M12; ;One-way street;5/31/2022;157651,057;161911,473
2824628;C21;5;Weight limit;5/31/2022;157847,98;161242,717
2824644;A7a; ;Road narrows;5/31/2022;156238;161667,33
2824662;A7a | GIa;m,500;Road narrows;5/31/2022;156786,42;161312,41
2824679;F111; ;Bicycle road;5/31/2022;158268,285;161735,75
2825137;C1 | GIV;LOKAAL VERKEER UITGEZONDERD;One-way street;6/1/2022;157381,188;162137,156
2825812;B5; ;Stop sign;6/2/2022;243242,875;198803,813
2825963;F19; ;One-way street;6/2/2022;157525,008;161865,559
2825990;B1; ;Give way;6/2/2022;153224,27;178148,44
2826024;F111 | M12 | IVMS1;30;Bicycle road;6/2/2022;157727,443;161719,348
2826027;F111; ;Bicycle road;6/2/2022;157721,068;161731,598
2826235;C1 | B1 | M2; ;One-way street | Give way | Except for bicycles;6/2/2022;153837,5;177041
2828406;C43;50;Speed limit;6/7/2022;178674,125;224903,625
2828409;GIa | B1;m,150;Give way;6/7/2022;101079,067;176262,865
2828414;C43;50;Speed limit;6/7/2022;178896;225153,5
2828744;F19 | M18; ;One-way street;5/31/2022;104983,366;193399,093
2828939;GVIId | GVIId | F45b;Op ma,di,do en vrijdag van 8u tot 8u30 en van 15u tot 15u30 Op woensdag  van 8u tot 8u30 en van 11u5;No exit, except for bicycle;6/8/2022;157703,73;230060,93
2828945;GVIId | GVIId | F45b;Op ma,di,do en vrijdag Van 8u tot 8u30 en van 15u tot 15u30 op woensdag  van 8u tot 8u30 en van 11u5;No exit, except for bicycle;6/8/2022;157592,75;230256,42
2828953;GVIId | GVIId | F45b;Op ma,di,do en vrijdag van 8utot8u30 en van 15utot 15u30 op woensdag van 8u tot 8u30 en van 11u50 to;No exit, except for bicycle;6/8/2022;157541,69;230236,35
2829071;C1 | M12; ;One-way street;6/10/2022;62727,469;182651,406
2829076;F19 | M18; ;One-way street;6/10/2022;62725,344;182671,531
2829077;F4b; ;End of speed limit zone;6/10/2022;62756,562;182673,312
2829517;B1; ;Give way;6/9/2022;223144,527;178611,34
2829522;B1; ;Give way;6/9/2022;223102,589;178602,59
2829529;B9 | C43;50;Priority road | Speed limit;6/9/2022;223116,714;178590,371
2829536;B9 | C43;50;Priority road | Speed limit;6/9/2022;223160,277;178547,527
2829537;C43;50;Speed limit;6/9/2022;223199,402;178533,652
2829544;B1; ;Give way;6/9/2022;223135,652;178586,121
2829569;B1; ;Give way;6/9/2022;223100,496;178615,652
2829758;B1; ;Give way;6/9/2022;223125,933;178597,059
2829761;B11 | C43 | D7;50;Priority road ends | Speed limit;6/9/2022;223131,808;178592,996
2829774;B1; ;Give way;6/10/2022;167698,125;216390,25
2829778;B1; ;Give way;6/10/2022;245228,438;191476,188
2829779;B1; ;Give way;6/10/2022;168159,188;216687,063
2829782;B1 | IV1; ;Give way;6/10/2022;168151,625;216691,563
2829789;B1; ;Give way;6/10/2022;168529,813;217161,906
2829791;B1; ;Give way;6/10/2022;168522,563;217167,719
2829794;B1; ;Give way;6/10/2022;244676,25;191166,75
2829802;B9 | C43 | D7;50;Priority road | Speed limit;6/10/2022;223093,813;178621,25
