bordId;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name
2621411;41687,3436999992;209476,093699999;A14; ;Speed bump
2629464;205182,7601;198910,2401;A14; ;Speed bump
2631119;105669,250699997;191693,036899999;A14; ;Speed bump
2631569;39307,5724999979;208412,960099999;A14; ;Speed bump
2635573;102829,270900004;195876,0759;A14; ;Speed bump
2638004;156055,390100002;230223,220100001;A14; ;Speed bump
2638015;156123,060099997;230136,500100002;A14; ;Speed bump
2638025;156035,910099998;230152,030099999;A14; ;Speed bump
2638428;54285,8575000018;190820,9175;A14; ;Speed bump
2638448;51303,2700999975;192082,4201;A14; ;Speed bump
2635705;103413,227499999;187085,352499999;A25; ;Bicycle crossing
2629194;81321,0350999981;192875,252099998;A7a; ;Road narrows
2629205;81209,1991000026;192828,349100001;A7a; ;Road narrows
2629236;81426,6530999988;192942,2881;A7a; ;Road narrows
2635532;102676,028099999;196286,0471;A7a; ;Road narrows
2635568;102531,195100002;196524,611099999;A7a; ;Road narrows
2635739;103413,9683;187094,5601;A7c; ;Road narrows left
2637362;155845,350100003;229947,410100002;A7c; ;Road narrows left
2625236;41716,1875;209985,375100002;B1; ;Give way
2625243;41674,2501000017;209948,8125;B1; ;Give way
2626419;67794,4231000021;209327,894099999;B1; ;Give way
2626763;88791,0900999978;165708,270100001;B1; ;Give way
2626991;173930,271899998;182444,335299999;B1; ;Give way
2627081;176877,271899998;183545,460299999;B1; ;Give way
2627082;176883,896899998;183550,772700001;B1; ;Give way
2627151;175966,5845;183729,022700001;B1; ;Give way
2627179;176234,271899998;184170,022700001;B1; ;Give way
2627184;173278,5845;184775,460299999;B1; ;Give way
2627205;172868,7095;184595,647700001;B1; ;Give way
2627209;173848,4595;184970,022700001;B1; ;Give way
2627352;174839,375100002;182664,593699999;B1; ;Give way
2627693;82220,6900999993;192269,9001;B1; ;Give way
2628385;82568,3400999978;192754,680100001;B1; ;Give way
2629013;207049,2601;199505,9901;B1; ;Give way
2629030;81536,1101000011;192974,800099999;B1; ;Give way
2630016;82914,5341000035;193891,8981;B1; ;Give way
2630120;80712,9301000014;193814,0601;B1; ;Give way
